user_id,variant,converted,segment
u001,Control,0,mobile
u002,Treatment,1,mobile
u003,Control,0,desktop
u004,Treatment,0,desktop
u005,Control,1,mobile
u006,Treatment,1,mobile
u007,Control,0,desktop
u008,Treatment,1,desktop
u009,Control,0,mobile
u010,Treatment,1,mobile
u011,Control,1,desktop
u012,Treatment,1,desktop
u013,Control,0,mobile
u014,Treatment,0,mobile
u015,Control,0,desktop
u016,Treatment,1,desktop
u017,Control,1,mobile
u018,Treatment,1,mobile
u019,Control,0,desktop
u020,Treatment,0,desktop
